Time,CPU (Tctl/Tdie) [°C]
11:35:23.103,48.9
11:35:25.100,48.9
11:35:27.099,48.9
11:35:29.099,48.9
11:35:31.099,48.9
11:35:33.100,48.8
11:35:35.103,49.0
11:35:37.102,49.4
11:35:39.102,49.2
11:35:41.100,49.0
11:35:43.102,48.8
11:35:45.099,48.8
11:35:47.097,48.6
11:35:49.100,48.6
11:35:51.100,48.6
11:35:53.099,48.6
11:35:55.103,48.6
11:35:57.100,48.8
11:35:59.103,48.6
11:36:1.100,48.5
11:36:3.098,48.6
11:36:5.100,48.6
11:36:7.098,48.5
11:36:9.098,48.5
11:36:11.103,48.5
11:36:13.100,48.6
11:36:15.099,48.6
11:36:17.101,48.5
11:36:19.104,48.5
11:36:21.103,48.5
11:36:23.097,49.2
11:36:25.097,48.8
11:36:27.100,48.5
11:36:29.099,48.6
11:36:31.098,48.6
11:36:33.101,48.6
11:36:35.098,48.5
11:36:37.101,48.4
11:36:39.099,48.4
11:36:41.100,48.5
11:36:43.097,48.4
11:36:45.099,48.4
11:36:47.098,48.4
11:36:49.101,48.4
11:36:51.098,48.4
11:36:53.100,48.4
11:36:55.099,48.2
11:36:57.100,48.2
11:36:59.107,48.8
11:37:1.097,49.9
11:37:3.099,51.0
11:37:5.101,50.8
11:37:7.097,55.4
11:37:9.097,56.0
11:37:11.096,54.0
11:37:13.096,53.4
11:37:15.104,55.6
11:37:17.103,72.6
11:37:19.098,82.4
11:37:21.103,84.6
11:37:23.097,85.2
11:37:25.105,82.0
11:37:27.100,81.9
11:37:29.105,84.5
11:37:31.100,81.8
11:37:33.102,82.0
11:37:35.102,83.2
11:37:37.176,83.2
11:37:39.130,84.5
11:37:41.229,83.6
11:37:43.102,82.5
11:37:45.103,81.2
11:37:47.101,82.5
11:37:49.104,81.5
11:37:51.099,86.0
11:37:53.104,89.0
11:37:55.100,88.6
11:37:57.100,88.1
11:37:59.099,85.6
11:38:1.106,86.8
11:38:3.382,87.8
11:38:5.206,88.4
11:38:7.104,88.1
11:38:9.101,83.8
11:38:11.100,78.1
11:38:13.101,74.9
11:38:15.099,73.1
11:38:17.102,73.5
11:38:19.100,80.0
11:38:21.100,75.5
11:38:23.107,72.1
11:38:25.114,65.9
11:38:27.131,63.2
11:38:29.102,61.5
11:38:31.100,60.4
11:38:33.099,59.1
11:38:35.099,58.5
11:38:37.103,58.4
